IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Waste/-3,7427862_40,3935145",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Arrayanes,1,-3.7427862,40.3935145,"Calle Arrayanes, 1"
"Organic/-3,7433504_40,3937354",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Arrayanes,42,-3.7433504,40.3937354,"Calle Arrayanes, 42"
"Waste/-3,7433504_40,3937354",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Arrayanes,42,-3.7433504,40.3937354,"Calle Arrayanes, 42"
"Organic/-3,7440921_40,390027",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Petirrojo,2,-3.7440921,40.390027,"Calle Petirrojo, 2"
"Waste/-3,7440921_40,390027",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Petirrojo,2,-3.7440921,40.390027,"Calle Petirrojo, 2"
"Organic/-3,743382_40,392408",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Marcelino castillo,13,-3.743382,40.392408,"Calle Marcelino castillo, 13"
"Waste/-3,743382_40,392408",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Marcelino castillo,13,-3.743382,40.392408,"Calle Marcelino castillo, 13"
"Glass/-3,7557072_40,3943959",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Camarena,59,-3.7557072,40.3943959,"Calle Camarena, 59"
"Organic/-3,7450984_40,4020803",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Vicenta villegas,3,-3.7450984,40.4020803,"Calle Vicenta villegas, 3"
"Packaging/-3,7450984_40,4020803",Packaging,Env 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Vicenta villegas,3,-3.7450984,40.4020803,"Calle Vicenta villegas, 3"
"Waste/-3,7450984_40,4020803",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Vicenta villegas,3,-3.7450984,40.4020803,"Calle Vicenta villegas, 3"
"Waste/-3,7468174_40,4057258",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Almazan,46,-3.7468174,40.4057258,"Calle Almazan, 46"
"Organic/-3,7468174_40,4057258",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Almazan,46,-3.7468174,40.4057258,"Calle Almazan, 46"
"Organic/-3,7422039_40,4069194",Organic,O 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Barrionuevo,17,-3.7422039,40.4069194,"Calle Barrionuevo, 17"
