Número,Distrito,Barrio ,Calle,Direccion,Nº Finca,Número de Plazas,Longitud,POINT,Latitud
1 a, CENTRO,SOL, CALLE DE ALCALA," CALLE DE ALCALA, 2",2,30,-3.701998,-3.701998  40.4171107,40.4171107
1 b, CENTRO,SOL, CALLE DE ALCALA," CALLE DE ALCALA, 6",6,30,-3.7015636,-3.7015636  40.4172132,40.4172132
2, CENTRO,UNIVERSIDAD, CALLE DE MIGUEL MOYA," CALLE DE MIGUEL MOYA, 1",1,24,-3.7056739,-3.7056739  40.42058,40.42058
3, CHAMBERÍ,ARAPILES, PLAZA DEL CONDE DEL VALLE DE SUCHIL," PLAZA DEL CONDE DEL VALLE DE SUCHIL, 2",2,18,-3.7072122,-3.7072122  40.4303224,40.4303224
4, CENTRO,UNIVERSIDAD, CALLE DE MANUELA MALASAÑA," CALLE DE MANUELA MALASAÑA, 3",3,24,-3.7026739,-3.7026739  40.4285905,40.4285905
5, CENTRO,JUSTICIA, CALLE DE FUENCARRAL," CALLE DE FUENCARRAL, 106",106,27,-3.7020743,-3.7020743  40.428362,40.428362
6, CENTRO,JUSTICIA, CALLE DE HORTALEZA," CALLE DE HORTALEZA, 63",63,24,-3.6984093,-3.6984093  40.4241633,40.4241633
7, CENTRO,JUSTICIA, CALLE DE HORTALEZA," CALLE DE HORTALEZA, 75",75,21,-3.6977399,-3.6977399  40.4252161,40.4252161
8, CHAMBERÍ,ALMAGRO, PLAZA DE ALONSO MARTINEZ," PLAZA DE ALONSO MARTINEZ, 6",6,24,-3.6953067,-3.6953067  40.4277143,40.4277143
9, CENTRO,PALACIO, PLAZA DE SAN MIGUEL," PLAZA DE SAN MIGUEL, 9",9,24,-3.7094093,-3.7094093  40.4156134,40.4156134
10, CENTRO,JUSTICIA, CALLE DEL MARQUES DE LA ENSENADA," CALLE DEL MARQUES DE LA ENSENADA, 16",16,24,-3.6920816,-3.6920816  40.4254027,40.4254027
11, CENTRO,UNIVERSIDAD, CALLE DE SAN ANDRES," CALLE DE SAN ANDRES, 20",20,24,-3.7036192,-3.7036192  40.4270517,40.4270517
12, CENTRO,UNIVERSIDAD, CALLE DE SAN BERNARDO," CALLE DE SAN BERNARDO, 87",87,24,-3.7062202,-3.7062202  40.4285271,40.4285271
13, CENTRO,UNIVERSIDAD, CALLE DEL CONDE DUQUE," CALLE DEL CONDE DUQUE, 22",22,24,-3.7104727,-3.7104727  40.4273652,40.4273652
14, MONCLOA-ARAVACA,ARGÜELLES, CALLE DE VENTURA RODRIGUEZ," CALLE DE VENTURA RODRIGUEZ, 1",1,24,-3.7133768,-3.7133768  40.4259913,40.4259913
15, CENTRO,UNIVERSIDAD, CALLE DEL NORTE," CALLE DEL NORTE, 10",10,21,-3.7073611,-3.7073611  40.4262937,40.4262937
16, CENTRO,UNIVERSIDAD, CALLE DE SAN BERNARDO," CALLE DE SAN BERNARDO, 22",22,21,-3.7074955,-3.7074955  40.4229421,40.4229421
17, CENTRO,UNIVERSIDAD, PLAZA DE CARLOS CAMBRONERO," PLAZA DE CARLOS CAMBRONERO, 2",2,24,-3.7041859,-3.7041859  40.4231675,40.4231675
18, CENTRO,JUSTICIA, PLAZA DE PEDRO ZEROLO," PLAZA DE PEDRO ZEROLO, 1",1,24,-3.6995679,-3.6995679  40.4209206,40.4209206
19, CENTRO,JUSTICIA, CALLE DE PRIM," CALLE DE PRIM, 4",4,24,-3.6953951,-3.6953951  40.4218997,40.4218997
20 a, CENTRO,JUSTICIA, CALLE DE ALCALA," CALLE DE ALCALA, 49",49,24,-3.6952095,-3.6952095  40.4191989,40.4191989
20 b, CENTRO,JUSTICIA, CALLE DE ALCALA," CALLE DE ALCALA, 49",49,6,-3.6952901,-3.6952901  40.4191858,40.4191858
22, CENTRO,SOL, CALLE DE JACOMETREZO," CALLE DE JACOMETREZO, 1",1,24,-3.7064995,-3.7064995  40.4201452,40.4201452
23, CENTRO,PALACIO, PLAZA DE SANTO DOMINGO," PLAZA DE SANTO DOMINGO, S/N",S/N,24,-3.7082901,-3.7082901  40.4202137,40.4202137
24, CENTRO,PALACIO, CALLE DE CARLOS III," CALLE DE CARLOS III, 1",1,24,-3.7105866,-3.7105866  40.417906,40.417906
25 a, CENTRO,SOL, PLAZA DEL CELENQUE," PLAZA DEL CELENQUE, 1",1,24,-3.7059978,-3.7059978  40.4173416,40.4173416
25 b, CENTRO,SOL, PLAZA DEL CELENQUE," PLAZA DEL CELENQUE, 1",1,24,-3.7060243,-3.7060243  40.4172593,40.4172593
26, CENTRO,JUSTICIA, PLAZA DE LAS SALESAS," PLAZA DE LAS SALESAS, 8",8,24,-3.6945421,-3.6945421  40.4238308,40.4238308
27, CENTRO,CORTES, CALLE DE JESUS," CALLE DE JESUS, 6",6,27,-3.6955803,-3.6955803  40.4132831,40.4132831
28, CENTRO,CORTES, CALLE DE ALCALA," CALLE DE ALCALA, 26",26,24,-3.6983662,-3.6983662  40.4180695,40.4180695
29, CENTRO,CORTES, CALLE DEL MARQUES DE CUBAS," CALLE DEL MARQUES DE CUBAS, 25",25,24,-3.6958008,-3.6958008  40.416244,40.416244
30, CENTRO,PALACIO, CALLE DE PAVIA," CALLE DE PAVIA, 6",6,27,-3.7115428,-3.7115428  40.4193355,40.4193355
31, CENTRO,SOL, CALLE MAYOR," CALLE MAYOR, 18",18,27,-3.706625,-3.706625  40.4163446,40.4163446
32, CENTRO,SOL, PLAZA DE LA PROVINCIA," PLAZA DE LA PROVINCIA, 1",1,18,-3.7061355,-3.7061355  40.4148511,40.4148511
33, CENTRO,SOL, CALLE DE LAS CARRETAS," CALLE DE LAS CARRETAS, 3",3,21,-3.7032096,-3.7032096  40.4164757,40.4164757
34, CENTRO,CORTES, PLAZA DE JACINTO BENAVENTE," PLAZA DE JACINTO BENAVENTE, S/N",S/N,24,-3.7035044,-3.7035044  40.4144117,40.4144117
35, CENTRO,PALACIO, PLAZA DEL CORDON," PLAZA DEL CORDON, 1",1,24,-3.7103676,-3.7103676  40.4141792,40.4141792
36, CENTRO,PALACIO, PLAZA DE RAMALES," PLAZA DE RAMALES, 5",5,24,-3.711764,-3.711764  40.4168229,40.4168229
37, CENTRO,PALACIO, PLAZA DE SAN FRANCISCO," PLAZA DE SAN FRANCISCO, 5",5,24,-3.7141234,-3.7141234  40.4108606,40.4108606
38, CENTRO,PALACIO, CARRERA DE SAN FRANCISCO," CARRERA DE SAN FRANCISCO, 1",1,24,-3.7114443,-3.7114443  40.4112961,40.4112961
39, CENTRO,PALACIO, PLAZA DE LA CEBADA," PLAZA DE LA CEBADA, 16",16,27,-3.7090043,-3.7090043  40.4112662,40.4112662
40, CENTRO,EMBAJADORES, CALLE DEL CONDE DE ROMANONES," CALLE DEL CONDE DE ROMANONES, 2",2,24,-3.7047463,-3.7047463  40.4137865,40.4137865
41, CENTRO,EMBAJADORES, CALLE DE ATOCHA," CALLE DE ATOCHA, 56",56,18,-3.6989898,-3.6989898  40.412228,40.412228
42, CENTRO,EMBAJADORES, CALLE DE SANTA ISABEL," CALLE DE SANTA ISABEL, 32",32,24,-3.6982294,-3.6982294  40.4107714,40.4107714
43, CENTRO,EMBAJADORES, CALLE DE LAVAPIES," CALLE DE LAVAPIES, 36",36,24,-3.7025446,-3.7025446  40.4100889,40.4100889
44, CENTRO,EMBAJADORES, CALLE DEL MESON DE PAREDES," CALLE DEL MESON DE PAREDES, 35",35,21,-3.7039138,-3.7039138  40.4098162,40.4098162
45, CENTRO,EMBAJADORES, GLORIETA DE LA PUERTA DE TOLEDO," GLORIETA DE LA PUERTA DE TOLEDO, 1",1,21,-3.7111381,-3.7111381  40.4069486,40.4069486
46, ARGANZUELA,ACACIAS, CALLE DE LA RIBERA DE CURTIDORES," CALLE DE LA RIBERA DE CURTIDORES, 28",28,24,-3.7071178,-3.7071178  40.4054496,40.4054496
47, ARGANZUELA,ACACIAS, GLORIETA DE EMBAJADORES," GLORIETA DE EMBAJADORES, 7 B",7 B,24,-3.702755,-3.702755  40.4046233,40.4046233
48, CENTRO,EMBAJADORES, GLORIETA DE EMBAJADORES," GLORIETA DE EMBAJADORES, 2",2,24,-3.7020997,-3.7020997  40.4054473,40.4054473
49, CENTRO,EMBAJADORES, RONDA DE ATOCHA," RONDA DE ATOCHA, 36",36,24,-3.6992427,-3.6992427  40.4060497,40.4060497
50, CENTRO,EMBAJADORES, CALLE DE SANTA ISABEL," CALLE DE SANTA ISABEL, 57",57,24,-3.69322,-3.69322  40.4083102,40.4083102
51, CENTRO,EMBAJADORES, PLAZA DEL EMPERADOR CARLOS V," PLAZA DEL EMPERADOR CARLOS V, 7",7,27,-3.6935934,-3.6935934  40.4077234,40.4077234
52, CENTRO,CORTES, PLAZA DE SANTA ANA," PLAZA DE SANTA ANA, 9",9,24,-3.7007838,-3.7007838  40.4145181,40.4145181
53, CENTRO,EMBAJADORES, CALLE DE VALENCIA," CALLE DE VALENCIA, 2",2,24,-3.7007295,-3.7007295  40.4082802,40.4082802
54, CENTRO,JUSTICIA, CALLE DE BARCELO," CALLE DE BARCELO, 7",7,21,-3.7003435,-3.7003435  40.4266233,40.4266233
55, CENTRO,UNIVERSIDAD, PLAZA DE SAN ILDEFONSO," PLAZA DE SAN ILDEFONSO, 8",8,24,-3.7019295,-3.7019295  40.4240716,40.4240716
56, CENTRO,SOL, PLAZA DEL CARMEN," PLAZA DEL CARMEN, 1",1,24,-3.7032875,-3.7032875  40.418484,40.418484
57, CENTRO,UNIVERSIDAD, CALLE DE SANTA CRUZ DE MARCENADO," CALLE DE SANTA CRUZ DE MARCENADO, 24",24,24,-3.7128181,-3.7128181  40.4296363,40.4296363
58, CENTRO,JUSTICIA, CALLE DE AUGUSTO FIGUEROA," CALLE DE AUGUSTO FIGUEROA, 33",33,24,-3.6979458,-3.6979458  40.4222601,40.4222601
59, CENTRO,UNIVERSIDAD, CALLE DEL ESPIRITU SANTO," CALLE DEL ESPIRITU SANTO, 30",30,21,-3.7041167,-3.7041167  40.4254802,40.4254802
