Numero,Distrito,Barrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,Longitud,Point,Latitud
1a,CENTRO,SOL,CALLE_DE_ALCALA,"CALLE DE ALCALA, 2",2,30,Madrid,-3.701998,POINT(-3.701998  40.4171107),40.4171107
1b,CENTRO,SOL,CALLE_DE_ALCALA,"CALLE DE ALCALA, 6",6,30,Madrid,-3.7015636,POINT(-3.7015636  40.4172132),40.4172132
2,CENTRO,UNIVERSIDAD,CALLE_DE_MIGUEL_MOYA,"CALLE DE MIGUEL MOYA, 1",1,24,Madrid,-3.7056739,POINT(-3.7056739  40.42058),40.42058
3,CHAMBERI,ARAPILES,PLAZA_DEL_CONDE_DEL_VALLE_DE_SUCHIL,"PLAZA DEL CONDE DEL VALLE DE SUCHIL, 2",2,18,Madrid,-3.7072122,POINT(-3.7072122  40.4303224),40.4303224
4,CENTRO,UNIVERSIDAD,CALLE_DE_MANUELA_MALASANA,"CALLE DE MANUELA MALASAÑA, 3",3,24,Madrid,-3.7026739,POINT(-3.7026739  40.4285905),40.4285905
5,CENTRO,JUSTICIA,CALLE_DE_FUENCARRAL,"CALLE DE FUENCARRAL, 106",106,27,Madrid,-3.7020743,POINT(-3.7020743  40.428362),40.428362
6,CENTRO,JUSTICIA,CALLE_DE_HORTALEZA,"CALLE DE HORTALEZA, 63",63,24,Madrid,-3.6984093,POINT(-3.6984093  40.4241633),40.4241633
7,CENTRO,JUSTICIA,CALLE_DE_HORTALEZA,"CALLE DE HORTALEZA, 75",75,21,Madrid,-3.6977399,POINT(-3.6977399  40.4252161),40.4252161
8,CHAMBERI,ALMAGRO,PLAZA_DE_ALONSO_MARTINEZ,"PLAZA DE ALONSO MARTINEZ, 6",6,24,Madrid,-3.6953067,POINT(-3.6953067  40.4277143),40.4277143
9,CENTRO,PALACIO,PLAZA_DE_SAN_MIGUEL,"PLAZA DE SAN MIGUEL, 9",9,24,Madrid,-3.7094093,POINT(-3.7094093  40.4156134),40.4156134
10,CENTRO,JUSTICIA,CALLE_DEL_MARQUES_DE_LA_ENSENADA,"CALLE DEL MARQUES DE LA ENSENADA, 16",16,24,Madrid,-3.6920816,POINT(-3.6920816  40.4254027),40.4254027
11,CENTRO,UNIVERSIDAD,CALLE_DE_SAN_ANDRES,"CALLE DE SAN ANDRES, 20",20,24,Madrid,-3.7036192,POINT(-3.7036192  40.4270517),40.4270517
12,CENTRO,UNIVERSIDAD,CALLE_DE_SAN_BERNARDO,"CALLE DE SAN BERNARDO, 87",87,24,Madrid,-3.7062202,POINT(-3.7062202  40.4285271),40.4285271
13,CENTRO,UNIVERSIDAD,CALLE_DEL_CONDE_DUQUE,"CALLE DEL CONDE DUQUE, 22",22,24,Madrid,-3.7104727,POINT(-3.7104727  40.4273652),40.4273652
