ANIO,MES,FECHA,ID,TIPO_EDIFICIO,EDIFICIO,URI_EDIFICIO,TIPO_DE_VIA,NOMBRE_DE_LA_CALLE,VIA,NUMERO_DEL_EDIFICIO,CODIGO_POSTAL,DISTRITO,URI_DISTRITO,CODIGO_DISTRITO,BARRIO,URI_BARRIO,CODIGO_BARRIO,POBLACION,COORDENADA_X,COORDENADA_Y,TIPO,CLASE,UNIDADES,CONSUMO
2020,3,2020-03,2258,Bibliotecas,Biblioteca_Ana_Maria_Matute,Q70135254,CALLE,ISAAC ALBENIZ,CALLE_ISAAC_ALBENIZ,1,28019,CARABANCHEL,Carabanchel,11,SAN_ISIDRO,San_Isidro_(Madrid),113,Madrid,438873.92,4472154.36,Externo,Energia activa,kWh,13099
2020,3,2020-03,2258,Bibliotecas,Biblioteca_Ana_Maria_Matute,Q70135254,CALLE,ISAAC ALBENIZ,CALLE_ISAAC_ALBENIZ,1,28019,CARABANCHEL,Carabanchel,11,SAN_ISIDRO,San_Isidro_(Madrid),113,Madrid,438873.92,4472154.36,Externo,Energia reactiva,kVAr,104
2020,3,2020-03,2178,Bibliotecas,Biblioteca_Angel_Gonzalez,Q85697883,CALLE,GRANJA DE TORREHERMOSA,CALLE_GRANJA_DE_TORREHERMOSA,1,28024,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,434962.85,4472100.21,Externo,Energia activa,kWh,9688
2020,3,2020-03,2178,Bibliotecas,Biblioteca_Angel_Gonzalez,Q85697883,CALLE,GRANJA DE TORREHERMOSA,CALLE_GRANJA_DE_TORREHERMOSA,1,28024,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,434962.85,4472100.21,Externo,Energia reactiva,kVAr,4262
2020,3,2020-03,2178,Bibliotecas,Biblioteca_Angel_Gonzalez,Q85697883,CALLE,GRANJA DE TORREHERMOSA,CALLE_GRANJA_DE_TORREHERMOSA,1,28024,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,434962.85,4472100.21,Externo,Gas,m3/h,0
2020,3,2020-03,2096,Bibliotecas,Biblioteca_Eugenio_Trias,Q108367151,PASEO,FERNAN NUÑEZ,PASEO_FERNAN_NUNIEZ,24,28009,RETIRO,Retiro_(Madrid),3,JERONIMOS,Jerónimos_(Madrid),35,Madrid,442401.74,4474247.41,Externo,Energia activa,kWh,14630
2020,3,2020-03,2096,Bibliotecas,Biblioteca_Eugenio_Trias,Q108367151,PASEO,FERNAN NUÑEZ,PASEO_FERNAN_NUNIEZ,24,28009,RETIRO,Retiro_(Madrid),3,JERONIMOS,Jerónimos_(Madrid),35,Madrid,442401.74,4474247.41,Externo,Energia reactiva,kVAr,4173
2020,3,2020-03,2096,Bibliotecas,Biblioteca_Eugenio_Trias,Q108367151,PASEO,FERNAN NUÑEZ,PASEO_FERNAN_NUNIEZ,24,28009,RETIRO,Retiro_(Madrid),3,JERONIMOS,Jerónimos_(Madrid),35,Madrid,442401.74,4474247.41,Externo,Gas,m3/h,1266.7
2020,3,2020-03,1208,Bibliotecas,Biblioteca_Gerardo_Diego,Q85697914,CALLE,MONTE AYA,CALLE_MONTE_AYA,12,28031,VILLA_DE_VALLECAS,Villa_de_Vallecas,18,CASCO_HISTORICO_DE_VALLECAS,Casco_Histórico_de_Vallecas,181,Madrid,447143.05,4469885.64,Externo,Energia activa,kWh,4308
2020,3,2020-03,1208,Bibliotecas,Biblioteca_Gerardo_Diego,Q85697914,CALLE,MONTE AYA,CALLE_MONTE_AYA,12,28031,VILLA_DE_VALLECAS,Villa_de_Vallecas,18,CASCO_HISTORICO_DE_VALLECAS,Casco_Histórico_de_Vallecas,181,Madrid,447143.05,4469885.64,Externo,Energia reactiva,kVAr,1449
2020,3,2020-03,1208,Bibliotecas,Biblioteca_Gerardo_Diego,Q85697914,CALLE,MONTE AYA,CALLE_MONTE_AYA,12,28031,VILLA_DE_VALLECAS,Villa_de_Vallecas,18,CASCO_HISTORICO_DE_VALLECAS,Casco_Histórico_de_Vallecas,181,Madrid,447143.05,4469885.64,Externo,Gas,m3/h,1376.2
2020,3,2020-03,1526,Bibliotecas,Biblioteca_Jose_Hierro,Q85696081,CALLE,MARIA SEVILLA DIAGO,CALLE_MARIA_SEVILLA_DIAGO,15,28022,SAN_BLAS-CANILLEJAS,San_Blas-Canillejas,20,ROSAS,Rosas_(Madrid),205,Madrid,448214.3,4476029.82,Externo,Energia activa,kWh,2751
2020,3,2020-03,1526,Bibliotecas,Biblioteca_Jose_Hierro,Q85696081,CALLE,MARIA SEVILLA DIAGO,CALLE_MARIA_SEVILLA_DIAGO,15,28022,SAN_BLAS-CANILLEJAS,San_Blas-Canillejas,20,ROSAS,Rosas_(Madrid),205,Madrid,448214.3,4476029.82,Externo,Energia reactiva,kVAr,80
2020,3,2020-03,1526,Bibliotecas,Biblioteca_Jose_Hierro,Q85696081,CALLE,MARIA SEVILLA DIAGO,CALLE_MARIA_SEVILLA_DIAGO,15,28022,SAN_BLAS-CANILLEJAS,San_Blas-Canillejas,20,ROSAS,Rosas_(Madrid),205,Madrid,448214.3,4476029.82,Externo,Gas,m3/h,5.7
2020,3,2020-03,509,Bibliotecas,Biblioteca_La_Elipa-Islas_Filipinas,Q85697932,CALLE,NUESTRA SEÑORA DEL VILLAR,CALLE_NUESTRA_SENIORA_DEL_VILLAR,6,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,VENTAS,Ventas_(Madrid),151,Madrid,444705.59,4474960.04,Procesado,Energia activa,kWh,995
2020,3,2020-03,509,Bibliotecas,Biblioteca_La_Elipa-Islas_Filipinas,Q85697932,CALLE,NUESTRA SEÑORA DEL VILLAR,CALLE_NUESTRA_SENIORA_DEL_VILLAR,6,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,VENTAS,Ventas_(Madrid),151,Madrid,444705.59,4474960.04,Procesado,Gas,m3/h,1376.21055
2020,3,2020-03,509,Bibliotecas,Biblioteca_La_Elipa-Islas_Filipinas,Q85697932,CALLE,NUESTRA SEÑORA DEL VILLAR,CALLE_NUESTRA_SENIORA_DEL_VILLAR,6,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,VENTAS,Ventas_(Madrid),151,Madrid,444705.59,4474960.04,Externo,Gas,m3/h,3208.74
2020,3,2020-03,2204,Bibliotecas,Biblioteca_Maria_Lejarraga,Q85697942,CALLE,PRINCESA DE EBOLI,CALLE_PRINCESA_DE_EBOLI,29,28050,HORTALEZA,Hortaleza,16,VALDEFUENTES,Valdefuentes_(Madrid),166,Madrid,444461.6,4482377.51,Procesado,Energia activa,kWh,4576.1804
2020,3,2020-03,941,Bibliotecas,Biblioteca_Mario_Vargas_Llosa,Q63191732,CALLE,BARCELO,CALLE_BARCELO,4,28004,CENTRO,Centro_(Madrid),1,JUSTICIA,Justicia_(Madrid),14,Madrid,440674.55,4475361.07,Externo,Energia activa,kWh,3536
2020,3,2020-03,941,Bibliotecas,Biblioteca_Mario_Vargas_Llosa,Q63191732,CALLE,BARCELO,CALLE_BARCELO,4,28004,CENTRO,Centro_(Madrid),1,JUSTICIA,Justicia_(Madrid),14,Madrid,440674.55,4475361.07,Externo,Energia reactiva,kVAr,1190
2020,3,2020-03,850,Bibliotecas,Biblioteca_Miguel_Delibes,Q85696085,CALLE,ARROYO BELINCOSO,CALLE_ARROYO_BELINCOSO,11,28030,MORATALAZ,Moratalaz,14,MEDIA_LEGUA,Media_Legua_(Madrid),144,Madrid,444589.53,4473440.92,Externo,Energia activa,kWh,5930
2020,3,2020-03,850,Bibliotecas,Biblioteca_Miguel_Delibes,Q85696085,CALLE,ARROYO BELINCOSO,CALLE_ARROYO_BELINCOSO,11,28030,MORATALAZ,Moratalaz,14,MEDIA_LEGUA,Media_Legua_(Madrid),144,Madrid,444589.53,4473440.92,Externo,Energia reactiva,kVAr,1259
2020,3,2020-03,850,Bibliotecas,Biblioteca_Miguel_Delibes,Q85696085,CALLE,ARROYO BELINCOSO,CALLE_ARROYO_BELINCOSO,11,28030,MORATALAZ,Moratalaz,14,MEDIA_LEGUA,Media_Legua_(Madrid),144,Madrid,444589.53,4473440.92,Externo,Gas,m3/h,1481.7
2020,3,2020-03,702,Bibliotecas,Biblioteca_Pablo_Neruda,Q85697951,CALLE,ASCAO,CALLE_ASCAO,4,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,PUEBLO_NUEVO,Pueblo_Nuevo_(Madrid),152,Madrid,445565.18,4475620,Procesado,Energia activa,kWh,4523
2020,3,2020-03,702,Bibliotecas,Biblioteca_Pablo_Neruda,Q85697951,CALLE,ASCAO,CALLE_ASCAO,4,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,PUEBLO_NUEVO,Pueblo_Nuevo_(Madrid),152,Madrid,445565.18,4475620,Procesado,Gas,m3/h,856.296
2020,3,2020-03,20,Bibliotecas,Biblioteca_Pio_Baroja,Q85697953,CALLE,ARGANDA,CALLE_ARGANDA,12,28005,ARGANZUELA,Arganzuela,2,ACACIAS,Las_Acacias_(Madrid),22,Madrid,439946.87,4472423.86,Externo,Energia activa,kWh,4021
2020,3,2020-03,20,Bibliotecas,Biblioteca_Pio_Baroja,Q85697953,CALLE,ARGANDA,CALLE_ARGANDA,12,28005,ARGANZUELA,Arganzuela,2,ACACIAS,Las_Acacias_(Madrid),22,Madrid,439946.87,4472423.86,Externo,Energia reactiva,kVAr,933
2020,3,2020-03,20,Bibliotecas,Biblioteca_Pio_Baroja,Q85697953,CALLE,ARGANDA,CALLE_ARGANDA,12,28005,ARGANZUELA,Arganzuela,2,ACACIAS,Las_Acacias_(Madrid),22,Madrid,439946.87,4472423.86,Externo,Gas,m3/h,807.6
2020,3,2020-03,906,Centros culturales,CC_Conde_Duque,Q56426480,CALLE,CONDE DUQUE,CALLE_CONDE_DUQUE,11,28015,CENTRO,Centro_(Madrid),1,UNIVERSIDAD,Universidad_(Madrid),15,Madrid,439716.08,4475426.59,Externo,Energia activa,kWh,0
2020,3,2020-03,906,Centros culturales,CC_Conde_Duque,Q56426480,CALLE,CONDE DUQUE,CALLE_CONDE_DUQUE,11,28015,CENTRO,Centro_(Madrid),1,UNIVERSIDAD,Universidad_(Madrid),15,Madrid,439716.08,4475426.59,Externo,Energia reactiva,kVAr,0
2020,3,2020-03,288,Centros culturales,CC_La_Vaguada,Q6465598,AVENIDA,MONFORTE DE LEMOS,AVENIDA_MONFORTE_DE_LEMOS,38,28029,FUENCARRAL-EL_PARDO,Fuencarral-El_Pardo,8,EL_PILAR,El_Pilar_(Madrid),84,Madrid,439890.74,4481167.14,Externo,Energia activa,kWh,17423
2020,3,2020-03,288,Centros culturales,CC_La_Vaguada,Q6465598,AVENIDA,MONFORTE DE LEMOS,AVENIDA_MONFORTE_DE_LEMOS,38,28029,FUENCARRAL-EL_PARDO,Fuencarral-El_Pardo,8,EL_PILAR,El_Pilar_(Madrid),84,Madrid,439890.74,4481167.14,Externo,Gas,m3/h,0
2020,3,2020-03,1763,Bibliotecas,CC_Valdebernardo_y_Biblioteca_Francisco_Ayala,Q85697910,BULEVAR,INDALECIO PRIETO,BULEVAR_INDALECIO_PRIETO,21,28032,VICALVARO,Vicálvaro,19,VALDEBERNARDO,Valdebernardo_(Madrid),192,Madrid,447292.76,4472313.76,Procesado,Energia activa,kWh,5799.7581
2020,3,2020-03,1763,Bibliotecas,CC_Valdebernardo_y_Biblioteca_Francisco_Ayala,Q85697910,BULEVAR,INDALECIO PRIETO,BULEVAR_INDALECIO_PRIETO,21,28032,VICALVARO,Vicálvaro,19,VALDEBERNARDO,Valdebernardo_(Madrid),192,Madrid,447292.76,4472313.76,Procesado,Gas,m3/h,933.9126
2020,3,2020-03,853,Centros culturales,CC/BPM_Gloria_Fuertes,Q85697917,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,179,28042,BARAJAS,Barajas_(Madrid),21,CORRALEJOS,Corralejos_(Madrid),215,Madrid,449662.16,4479050.27,Procesado,Energia activa,kWh,3010.436
2020,3,2020-03,853,Centros culturales,CC/BPM_Gloria_Fuertes,Q85697917,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,179,28042,BARAJAS,Barajas_(Madrid),21,CORRALEJOS,Corralejos_(Madrid),215,Madrid,449662.16,4479050.27,Procesado,Gas,m3/h,624.54
2020,3,2020-03,1119,Centros mixtos,CDI_Arganzuela,Q16545668,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440987.11,4472682.14,Externo,Energia activa,kWh,41459
2020,3,2020-03,1119,Centros mixtos,CDI_Arganzuela,Q16545668,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440987.11,4472682.14,Externo,Energia reactiva,kVAr,8505
2020,3,2020-03,1119,Centros mixtos,CDI_Arganzuela,Q16545668,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440987.11,4472682.14,Externo,Gas,m3/h,38.7
2020,3,2020-03,631,Centros deportivos,CDM_Aluche,Q63191263,AVENIDA,DE LAS AGUILAS,AVENIDA_DE_LAS_AGUILAS,14,28044,LATINA,Latina_(Madrid),10,AGUILAS,Las_Águilas,107,Madrid,434499.85,4470564.28,Externo,Energia activa,kWh,20675
2020,3,2020-03,631,Centros deportivos,CDM_Aluche,Q63191263,AVENIDA,DE LAS AGUILAS,AVENIDA_DE_LAS_AGUILAS,14,28044,LATINA,Latina_(Madrid),10,AGUILAS,Las_Águilas,107,Madrid,434499.85,4470564.28,Externo,Energia reactiva,kVAr,1949
2020,3,2020-03,631,Centros deportivos,CDM_Aluche,Q63191263,AVENIDA,DE LAS AGUILAS,AVENIDA_DE_LAS_AGUILAS,14,28044,LATINA,Latina_(Madrid),10,AGUILAS,Las_Águilas,107,Madrid,434499.85,4470564.28,Externo,Gas,m3/h,260.7
