PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;81;28079102_81_98;2020;08;01;01.55;V;00.97;V;00.73;V;00.87;V;00.95;V;01.55;V;00.97;V;00.98;V;00.48;V;01.10;V;01.87;V;02.13;V;02.08;V;02.73;V;03.85;V;03.75;V;03.05;V;02.97;V;02.98;V;03.33;V;02.80;V;01.90;V;01.55;V;01.35;V
28;079;102;81;28079102_81_98;2020;08;02;01.03;V;01.67;V;01.53;V;02.52;V;02.07;V;01.82;V;02.80;V;02.60;V;02.50;V;01.62;V;00.83;V;00.90;V;01.43;V;01.70;V;02.17;V;01.67;V;02.52;V;04.05;V;03.55;V;04.08;V;03.05;V;02.32;V;03.55;V;04.40;V
28;079;102;81;28079102_81_98;2020;08;03;04.35;V;04.18;V;04.83;V;05.10;V;04.68;V;03.37;V;02.87;V;02.60;V;02.67;V;02.45;V;01.90;V;01.50;V;02.32;V;02.03;V;01.65;V;01.73;V;01.93;V;02.18;V;01.58;V;02.22;V;03.23;V;03.32;V;03.02;V;03.03;V
28;079;102;81;28079102_81_98;2020;08;04;04.08;V;04.52;V;04.37;V;04.22;V;04.20;V;04.10;V;03.92;V;03.75;V;03.85;V;04.07;V;03.30;V;02.40;V;01.55;V;01.85;V;01.23;V;01.57;V;01.43;V;01.35;V;01.53;V;00.97;V;01.42;V;01.53;V;01.27;V;02.27;V
28;079;102;81;28079102_81_98;2020;08;05;02.28;V;03.17;V;03.00;V;02.28;V;02.45;V;01.78;V;01.53;V;01.23;V;01.03;V;01.50;V;01.80;V;01.22;V;01.43;V;01.58;V;01.70;V;01.95;V;01.40;V;01.85;V;01.63;V;01.25;V;01.48;V;00.77;V;00.72;V;01.45;V
28;079;102;81;28079102_81_98;2020;08;06;01.32;V;01.82;V;03.27;V;03.28;V;02.37;V;02.02;V;01.92;V;02.82;V;02.60;V;02.85;V;02.48;V;02.35;V;02.65;V;02.27;V;01.95;V;02.02;V;02.58;V;02.03;V;01.88;V;01.65;V;01.48;V;01.30;V;01.85;V;03.18;V
28;079;102;81;28079102_81_98;2020;08;07;03.40;V;02.35;V;02.78;V;03.37;V;02.63;V;02.68;V;02.78;V;02.22;V;02.08;V;02.40;V;01.98;V;01.67;V;01.67;V;01.15;V;01.93;V;02.22;V;02.42;V;02.07;V;01.60;V;01.97;V;01.80;V;01.75;V;01.57;V;01.42;V
28;079;102;81;28079102_81_98;2020;08;08;01.68;V;02.73;V;02.90;V;02.22;V;01.92;V;01.62;V;01.22;V;01.43;V;02.80;V;02.20;V;01.18;V;01.22;V;01.25;V;00.95;V;01.78;V;01.82;V;01.22;V;00.75;V;01.67;V;00.70;V;00.22;V;00.95;V;01.60;V;01.73;V
28;079;102;81;28079102_81_98;2020;08;09;02.17;V;02.47;V;01.50;V;01.33;V;01.77;V;01.48;V;01.60;V;02.12;V;02.80;V;02.02;V;01.93;V;01.67;V;01.55;V;02.40;V;02.82;V;03.30;V;03.38;V;03.12;V;02.72;V;02.45;V;02.22;V;00.58;V;01.63;V;01.57;V
28;079;102;81;28079102_81_98;2020;08;10;01.33;V;00.50;V;02.58;V;02.23;V;02.20;V;01.97;V;01.62;V;01.73;V;02.32;V;01.67;V;00.75;V;01.38;V;02.25;V;02.67;V;01.77;V;03.23;V;04.48;V;03.05;V;03.20;V;02.83;V;03.33;V;02.58;V;01.68;V;01.78;V
