TIPO CONTENEDOR;CANTIDAD;DIRECCION COMPLETA;NOMBRE;NÚMERO;DISTRITO;URI distrito;LATITUD;LONGITUD;IDENTIFICADOR
Contenedor de ropa;1;Calle  Puerto de la Cruz Verde ,  esquina calle Puerto de Miravete;Calle Puerto de la Cruz Verde ;s/n;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,38450002;-3,686941289;-3.68694128893409 40.3845000160118 Contenedor de ropa
Contenedor de ropa;1;Calle  Puerto Bejar , 14 frente;Calle Puerto Bejar ;14;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,38785969;-3,687759863;-3.68775986303264 40.3878596868337 Contenedor de ropa
Contenedor de ropa;1;Calle  Bronce , 32 esquina calle Embajadores;Calle Bronce ;32;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,38795044;-3,690219677;-3.69021967689308 40.3879504368629 Contenedor de ropa
Contenedor de ropa;1;Calle  Teniente Coronel Noreña , 49 ;Calle Teniente Coronel Noreña ;49;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,38731006;-3,691849635;-3.69184963534151 40.3873100598576 Contenedor de ropa
Contenedor de ropa;1;Calle  Ricardo Damas, 4 ;Calle Ricardo Damas;4;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,38548769;-3,692046944;-3.69204694375639 40.3854876910624 Contenedor de ropa
Contenedor de ropa;1;Paseo  Molino , 19 ;Paseo Molino ;19;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39001009;-3,692449885;-3.69244988511658 40.3900100946791 Contenedor de ropa
Contenedor de ropa;1;Calle  Antracita , 14 ;Calle Antracita ;14;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39103987;-3,688369557;-3.68836955671932 40.3910398711294 Contenedor de ropa
Contenedor de ropa;1;Calle  Parroco Eusebio Cuenca , 44 ;Calle Parroco Eusebio Cuenca ;44;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,3955003;-3,688969971;-3.68896997111207 40.3955002960187 Contenedor de ropa
Contenedor de ropa;1;Calle  Alicante , 14 ;Calle Alicante ;14;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39432986;-3,691260449;-3.69126044942258 40.3943298598878 Contenedor de ropa
Contenedor de ropa;1;Calle  Del  Granito , 6 ;Calle Del  Granito ;6;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,3926398;-3,693510169;-3.69351016904421 40.392639798735 Contenedor de ropa
Contenedor de ropa;1;Paseo  Delicias , 123 ;Paseo Delicias ;123;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39283013;-3,69467037;-3.69467036974546 40.3928301334359 Contenedor de ropa
Contenedor de ropa;1;Paseo  Paseo de la Chopera - Reloj, 10 ;Paseo Paseo de la Chopera - Reloj;10;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39401973;-3,699089434;-3.6990894344816 40.394019726768 Contenedor de ropa
Contenedor de ropa;1;Calle  Jaime El Conquistador, 33 ;Calle Jaime El Conquistador;33;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39441051;-3,698229778;-3.6982297776378 40.3944105095216 Contenedor de ropa
Contenedor de ropa;1;Calle  Fernando Poo , 44 ;Calle Fernando Poo ;44;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39602972;-3,700269704;-3.70026970405517 40.396029717341 Contenedor de ropa
Contenedor de ropa;1;Paseo  Delicias , 38 ;Paseo Delicias ;38;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39793978;-3,693820255;-3.69382025496439 40.3979397813361 Contenedor de ropa
Contenedor de ropa;1;Calle  Embajadores , 124 ;Calle Embajadores ;124;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,39940033;-3,69857946;-3.6985794600477 40.3994003257314 Contenedor de ropa
Contenedor de ropa;1;Calle  Del Ferrocarril , 25 ;Calle Del Ferrocarril ;25;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40073052;-3,696697609;-3.69669760949369 40.400730517688 Contenedor de ropa
Contenedor de ropa;1;Calle  Palos de la Frontera , 42 ;Calle Palos de la Frontera ;42;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40255009;-3,694059675;-3.69405967498256 40.402550087876 Contenedor de ropa
Contenedor de ropa;1;Paseo  Santa María de la Cabeza , 33 ;Paseo Santa María de la Cabeza ;33;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40461976;-3,695959437;-3.69595943731644 40.4046197627249 Contenedor de ropa
Contenedor de ropa;1;Paseo  Santa María de la Cabeza, 3 ;Paseo Santa María de la Cabeza;3;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40671023;-3,693799528;-3.69379952762466 40.4067102332167 Contenedor de ropa
Contenedor de ropa;1;Calle  General Lacy , 14 ;Calle General Lacy ;14;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40453039;-3,690430254;-3.69043025380567 40.4045303882056 Contenedor de ropa
Contenedor de ropa;1;Calle  Ancora , 22 ;Calle Ancora ;22;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40262987;-3,691419589;-3.6914195886158 40.402629869628 Contenedor de ropa
Contenedor de ropa;1;Calle  Canarias , 54 ;Calle Canarias ;54;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40159989;-3,689800491;-3.68980049097715 40.401599893594 Contenedor de ropa
Contenedor de ropa;1;Calle  Bustamante , 26 esquina calle Villa del Prado;Calle Bustamante ;26;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40027875;-3,68707148;-3.68707148049293 40.4002787453193 Contenedor de ropa
Contenedor de ropa;1;Calle  Ramírez de Prado , 7 frente;Calle Ramírez de Prado ;7;Arganzuela;http://www.wikidata.org/entity/Q2000929;40,40027007;-3,686939882;-3.68693988185138 40.4002700676939 Contenedor de ropa
