TIPO_DATO;CLASE_VIAL;DIRECCIÓN;NOMBRE_VIAL;NÚMERO 1;DISTRITO;LATITUD;LONGITUD
Contenedor de ropa;Calle;Calle Puerto de la Cruz Verde ;Puerto de la Cruz Verde ;1;Arganzuela;40,38450002;-3,686941289
Contenedor de ropa;Calle;Calle Puerto Bejar ;Puerto Bejar ;14;Arganzuela;40,38785969;-3,687759863
Contenedor de ropa;Calle;Calle Bronce ;Bronce ;32;Arganzuela;40,38795044;-3,690219677
Contenedor de ropa;Calle;Calle Teniente Coronel Noreña ;Teniente Coronel Noreña ;49;Arganzuela;40,38731006;-3,691849635
Contenedor de ropa;Calle;Calle Ricardo Damas;Ricardo Damas;4;Arganzuela;40,38548769;-3,692046944
Contenedor de ropa;Paseo;Paseo Molino ;Molino ;19;Arganzuela;40,39001009;-3,692449885
Contenedor de ropa;Calle;Calle Antracita ;Antracita ;14;Arganzuela;40,39103987;-3,688369557
Contenedor de ropa;Calle;Calle Parroco Eusebio Cuenca ;Parroco Eusebio Cuenca ;44;Arganzuela;40,3955003;-3,688969971
Contenedor de ropa;Calle;Calle Alicante ;Alicante ;14;Arganzuela;40,39432986;-3,691260449
Contenedor de ropa;Calle;Calle Del  Granito ;Del  Granito ;6;Arganzuela;40,3926398;-3,693510169
Contenedor de ropa;Paseo;Paseo Delicias ;Delicias ;123;Arganzuela;40,39283013;-3,69467037
Contenedor de ropa;Paseo;Paseo Paseo de la Chopera - Reloj;Paseo de la Chopera - Reloj;10;Arganzuela;40,39401973;-3,699089434
Contenedor de ropa;Calle;Calle Jaime El Conquistador;Jaime El Conquistador;33;Arganzuela;40,39441051;-3,698229778
Contenedor de ropa;Calle;Calle Fernando Poo ;Fernando Poo ;44;Arganzuela;40,39602972;-3,700269704
Contenedor de ropa;Paseo;Paseo Delicias ;Delicias ;38;Arganzuela;40,39793978;-3,693820255
Contenedor de ropa;Calle;Calle Embajadores ;Embajadores ;124;Arganzuela;40,39940033;-3,69857946
Contenedor de ropa;Calle;Calle Del Ferrocarril ;Del Ferrocarril ;25;Arganzuela;40,40073052;-3,696697609
Contenedor de ropa;Calle;Calle Palos de la Frontera ;Palos de la Frontera ;42;Arganzuela;40,40255009;-3,694059675
Contenedor de ropa;Paseo;Paseo Santa María de la Cabeza ;Santa María de la Cabeza ;33;Arganzuela;40,40461976;-3,695959437
Contenedor de ropa;Paseo;Paseo Santa María de la Cabeza;Santa María de la Cabeza;3;Arganzuela;40,40671023;-3,693799528
Contenedor de ropa;Calle;Calle General Lacy ;General Lacy ;14;Arganzuela;40,40453039;-3,690430254
Contenedor de ropa;Calle;Calle Ancora ;Ancora ;22;Arganzuela;40,40262987;-3,691419589
Contenedor de ropa;Calle;Calle Canarias ;Canarias ;54;Arganzuela;40,40159989;-3,689800491
Contenedor de ropa;Calle;Calle Bustamante ;Bustamante ;26;Arganzuela;40,40027875;-3,68707148
Contenedor de ropa;Calle;Calle Ramírez de Prado ;Ramírez de Prado ;7;Arganzuela;40,40027007;-3,686939882
Contenedor de ropa;Calle;Calle Mendez Alvaro  ;Mendez Alvaro  ;62;Arganzuela;40,39641983;-3,681569931
Contenedor de ropa;Calle;Calle Mendez Alvaro  ;Mendez Alvaro  ;74;Arganzuela;40,39410037;-3,679209972
Contenedor de ropa;Calle;Calle Estrella Denébola;Estrella Denébola;5;Arganzuela;40,39452995;-3,683669474
Contenedor de ropa;Paseo;Paseo Yeserias ;Yeserias ;41;Arganzuela;40,39773968;-3,706630554
Contenedor de ropa;Calle;Calle Arganda ;Arganda ;38;Arganzuela;40,40039044;-3,706730153
Contenedor de ropa;Paseo;Paseo Esperanza ;Esperanza ;47;Arganzuela;40,39898009;-3,702810235
Contenedor de ropa;Calle;Calle Ribera de Curtidores;Ribera de Curtidores;30;Arganzuela;40,40144979;-3,70260966
Contenedor de ropa;Calle;Calle Embajadores ;Embajadores ;75;Arganzuela;40,4032104;-3,700789569
Contenedor de ropa;Calle;Calle Martín de Vargas ;Martín de Vargas ;1;Arganzuela;40,40442984;-3,702930552
Contenedor de ropa;Calle;Calle Ronda de Toledo ;Ronda de Toledo ;36;Arganzuela;40,40523997;-3,704819858
Contenedor de ropa;Paseo;Paseo Esperanza ;Esperanza ;8;Arganzuela;40,40256042;-3,706189548
Contenedor de ropa;Calle;Calle Arganda;Arganda;18;Arganzuela;40,39865001;-3,70493967
Contenedor de ropa;Paseo;Paseo Juan Antonio Vallejo - Nájera Botas;Juan Antonio Vallejo - Nájera Botas;31;Arganzuela;40,4022798;-3,709939957
Contenedor de ropa;Calle;Calle Melilla ;Melilla ;10;Arganzuela;40,40194036;-3,710200361
Contenedor de ropa;Calle;Calle Carmen Cobeña ;Carmen Cobeña ;3;Arganzuela;40,40135031;-3,710779838
Contenedor de ropa;Paseo;Paseo Imperial ;Imperial ;87;Arganzuela;40,40153017;-3,715359929
Contenedor de ropa;Calle;Calle Toledo ;Toledo ;171;Arganzuela;40,40261019;-3,713199481
Contenedor de ropa;Calle;Calle Toledo ;Toledo ;122;Arganzuela;40,40579988;-3,712390518
