TIPO CONTENEDOR;CANTIDAD;DIRECCION COMPLETA;NOMBRE;NÚMERO;DISTRITO;LATITUD;LONGITUD
Contenedor de ropa;1;Calle  Puerto de la Cruz Verde ,  esquina calle Puerto de Miravete;Calle Puerto de la Cruz Verde ;s/n;Arganzuela;40,38450002;-3,686941289
Contenedor de ropa;1;Calle  Puerto Bejar , 14 frente;Calle Puerto Bejar ;14;Arganzuela;40,38785969;-3,687759863
Contenedor de ropa;1;Calle  Bronce , 32 esquina calle Embajadores;Calle Bronce ;32;Arganzuela;40,38795044;-3,690219677
Contenedor de ropa;1;Calle  Teniente Coronel Noreña , 49 ;Calle Teniente Coronel Noreña ;49;Arganzuela;40,38731006;-3,691849635
Contenedor de ropa;1;Calle  Ricardo Damas, 4 ;Calle Ricardo Damas;4;Arganzuela;40,38548769;-3,692046944
Contenedor de ropa;1;Paseo  Molino , 19 ;Paseo Molino ;19;Arganzuela;40,39001009;-3,692449885
Contenedor de ropa;1;Calle  Antracita , 14 ;Calle Antracita ;14;Arganzuela;40,39103987;-3,688369557
Contenedor de ropa;1;Calle  Parroco Eusebio Cuenca , 44 ;Calle Parroco Eusebio Cuenca ;44;Arganzuela;40,3955003;-3,688969971
Contenedor de ropa;1;Calle  Alicante , 14 ;Calle Alicante ;14;Arganzuela;40,39432986;-3,691260449
Contenedor de ropa;1;Calle  Del  Granito , 6 ;Calle Del  Granito ;6;Arganzuela;40,3926398;-3,693510169
Contenedor de ropa;1;Paseo  Delicias , 123 ;Paseo Delicias ;123;Arganzuela;40,39283013;-3,69467037
Contenedor de ropa;1;Paseo  Paseo de la Chopera - Reloj, 10 ;Paseo Paseo de la Chopera - Reloj;10;Arganzuela;40,39401973;-3,699089434
Contenedor de ropa;1;Calle  Jaime El Conquistador, 33 ;Calle Jaime El Conquistador;33;Arganzuela;40,39441051;-3,698229778
Contenedor de ropa;1;Calle  Fernando Poo , 44 ;Calle Fernando Poo ;44;Arganzuela;40,39602972;-3,700269704
Contenedor de ropa;1;Paseo  Delicias , 38 ;Paseo Delicias ;38;Arganzuela;40,39793978;-3,693820255
Contenedor de ropa;1;Calle  Embajadores , 124 ;Calle Embajadores ;124;Arganzuela;40,39940033;-3,69857946
Contenedor de ropa;1;Calle  Del Ferrocarril , 25 ;Calle Del Ferrocarril ;25;Arganzuela;40,40073052;-3,696697609
Contenedor de ropa;1;Calle  Palos de la Frontera , 42 ;Calle Palos de la Frontera ;42;Arganzuela;40,40255009;-3,694059675
Contenedor de ropa;1;Paseo  Santa María de la Cabeza , 33 ;Paseo Santa María de la Cabeza ;33;Arganzuela;40,40461976;-3,695959437
Contenedor de ropa;1;Paseo  Santa María de la Cabeza, 3 ;Paseo Santa María de la Cabeza;3;Arganzuela;40,40671023;-3,693799528
Contenedor de ropa;1;Calle  General Lacy , 14 ;Calle General Lacy ;14;Arganzuela;40,40453039;-3,690430254
Contenedor de ropa;1;Calle  Ancora , 22 ;Calle Ancora ;22;Arganzuela;40,40262987;-3,691419589
Contenedor de ropa;1;Calle  Canarias , 54 ;Calle Canarias ;54;Arganzuela;40,40159989;-3,689800491
Contenedor de ropa;1;Calle  Bustamante , 26 esquina calle Villa del Prado;Calle Bustamante ;26;Arganzuela;40,40027875;-3,68707148
Contenedor de ropa;1;Calle  Ramírez de Prado , 7 frente;Calle Ramírez de Prado ;7;Arganzuela;40,40027007;-3,686939882
