Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
RESTO;VILLA DE VALLECAS;PLAZA;de la Sierra de Magina;;-3,62305;40,3764981;Plaza  de la Sierra de Magina,
RESTO;VILLA DE VALLECAS;CALLE;Tres Mercamadrid;;-3,671085;40,3590381;Calle  Tres Mercamadrid,
PAPEL-CARTON;CARABANCHEL;CALLE;de Antonio López;;-3,714493;40,3971011;Calle  de Antonio López,
PAPEL-CARTON;USERA;CALLE;de Gabriel Usera;;-3,708914;40,387115;Calle  de Gabriel Usera,
PAPEL-CARTON;USERA;CALLE;de Gaínza;;-3,718877;40,3694961;Calle  de Gaínza,
PAPEL-CARTON;VILLAVERDE;CALLE;de Pan y Toros;;-3,695061;40,3612651;Calle  de Pan y Toros,
PAPEL-CARTON;ARGANZUELA;CALLE;de Bercial;;-3,719905;40,406684;Calle  de Bercial,
PAPEL-CARTON;VILLAVERDE;CALLE;de Paterna;;-3,68485;40,3414611;Calle  de Paterna,
PAPEL-CARTON;VILLAVERDE;CALLE;de Paterna;;-3,684158;40,342431;Calle  de Paterna,
RESTO;PUENTE DE VALLECAS;AVENIDA;de Rafael Alberti;;-3,645121;40,382762;Avenida de Rafael Alberti,
RESTO;VILLA DE VALLECAS;CALLE;Tres Mercamadrid;;-3,669793;40,3594711;Calle  Tres Mercamadrid,
RESTO;VILLAVERDE;AVENIDA;de los Rosales;;-3,68092;40,354505;Avenida de los Rosales,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Rafael Alberti;;-3,645121;40,382762;Avenida de Rafael Alberti,
ENVASES;VILLAVERDE;AVENIDA;de los Rosales;;-3,68092;40,354505;Avenida de los Rosales,
ENVASES;VILLAVERDE;CALLE;Godella;;-3,688088;40,3399781;Calle  Godella,
ENVASES;VILLAVERDE;CALLE;de la Virgen de los Desamparados;;-3,698858;40,351284;Calle  de la Virgen de los Desamparados,
ENVASES;CARABANCHEL;CALLE;de Fernando Delgado;;-3,748752;40,383253;Calle  de Fernando Delgado,
ENVASES;CARABANCHEL;CALLE;del Marqués de Jura Real;;-3,709693;40,3920151;Calle  del Marqués de Jura Real,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,669251;40,372835;Ronda  del Sur,
ENVASES;CARABANCHEL;PASEO;de Santa María de la Cabeza;;-3,707804;40,392149;Paseo  de Santa María de la Cabeza,
ENVASES;CARABANCHEL;CALLE;de Fernando Delgado;;-3,748777;40,3843801;Calle  de Fernando Delgado,
ENVASES;VILLAVERDE;;;;-3,69574;40,3466971;,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,671332;40,37693;Ronda  del Sur,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,642072;40,391875;Avenida de Pablo Neruda,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Buenos Aires;;-3,652767;40,380472;Avenida de Buenos Aires,
ENVASES;USERA;PASEO;de Santa María de la Cabeza;;-3,716283;40,386007;Paseo  de Santa María de la Cabeza,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,67321;40,377989;Ronda  del Sur,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,679073;40,3797751;Ronda  del Sur,
ENVASES;CARABANCHEL;CALLE;de Albentosa;;-3,739482;40,3936871;Calle  de Albentosa,
RESTO;CARABANCHEL;CALLE;de Fernando Delgado;;-3,748752;40,383253;Calle  de Fernando Delgado,
PAPEL-CARTON;CARABANCHEL;PASEO;de Santa María de la Cabeza;;-3,708163;40,3918691;Paseo  de Santa María de la Cabeza,
VIDRIO;CARABANCHEL;PASEO;de Santa María de la Cabeza;;-3,708163;40,3918691;Paseo  de Santa María de la Cabeza,
ENVASES;CARABANCHEL;PASEO;de San Illán;;-3,7242629;40,401429;Paseo  de San Illán,
RESTO;CARABANCHEL;PASEO;de San Illán;;-3,7242629;40,401429;Paseo  de San Illán,
PAPEL-CARTON;CARABANCHEL;PASEO;de San Illán;;-3,722389;40,399773;Paseo  de San Illán,
VIDRIO;CARABANCHEL;PASEO;de San Illán;;-3,722389;40,399773;Paseo  de San Illán,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,6446029;40,3884711;Avenida de Pablo Neruda,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,6446029;40,3884711;Avenida de Pablo Neruda,
RESTO;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,6446029;40,3884711;Avenida de Pablo Neruda,
ENVASES;USERA;CALLE;de Ricardo Beltrán y Rózpide;;-3,7172831;40,382323;Calle  de Ricardo Beltrán y Rózpide,
RESTO;USERA;CALLE;de Ricardo Beltrán y Rózpide;;-3,7172831;40,382323;Calle  de Ricardo Beltrán y Rózpide,
PAPEL-CARTON;PUENTE DE VALLECAS;RONDA;del Sur;;-3,671347;40,373755;Ronda  del Sur,
VIDRIO;PUENTE DE VALLECAS;RONDA;del Sur;;-3,671347;40,373755;Ronda  del Sur,
PAPEL-CARTON;PUENTE DE VALLECAS;RONDA;del Sur;;-3,679137;40,379856;Ronda  del Sur,
VIDRIO;PUENTE DE VALLECAS;RONDA;del Sur;;-3,679137;40,379856;Ronda  del Sur,
ENVASES;VILLAVERDE;AVENIDA;de los Rosales;;-3,679883;40,3537791;Avenida de los Rosales,
ORGANICA;VILLAVERDE;AVENIDA;de los Rosales;;-3,679883;40,3537791;Avenida de los Rosales,
RESTO;VILLAVERDE;AVENIDA;de los Rosales;;-3,679883;40,3537791;Avenida de los Rosales,
RESTO;VILLAVERDE;AVENIDA;de los Rosales;;-3,679883;40,3537791;Avenida de los Rosales,
ENVASES;VILLAVERDE;CALLE;Godella;;-3,6880901;40,339971;Calle  Godella,
ORGANICA;VILLAVERDE;CALLE;Godella;;-3,6880901;40,339971;Calle  Godella,
RESTO;VILLAVERDE;CALLE;Godella;;-3,6880901;40,339971;Calle  Godella,
PAPEL-CARTON;VILLAVERDE;CALLE;de la Virgen de los Desamparados;;-3,6988049;40,350329;Calle  de la Virgen de los Desamparados,
VIDRIO;VILLAVERDE;CALLE;de la Virgen de los Desamparados;;-3,6988049;40,350329;Calle  de la Virgen de los Desamparados,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,678465;40,3802001;Ronda  del Sur,
ORGANICA;PUENTE DE VALLECAS;RONDA;del Sur;;-3,678465;40,3802001;Ronda  del Sur,
RESTO;PUENTE DE VALLECAS;RONDA;del Sur;;-3,678465;40,3802001;Ronda  del Sur,
RESTO;PUENTE DE VALLECAS;RONDA;del Sur;;-3,678465;40,3802001;Ronda  del Sur,
PAPEL-CARTON;CARABANCHEL;PASEO;de San Illán;;-3,723984;40,4008701;Paseo  de San Illán,
VIDRIO;CARABANCHEL;PASEO;de San Illán;;-3,723984;40,4008701;Paseo  de San Illán,
RESTO;CARABANCHEL;PASEO;de Santa María de la Cabeza;;-3,707804;40,392149;Paseo  de Santa María de la Cabeza,
ENVASES;CARABANCHEL;AVENIDA;de Abrantes;;-3,729536;40,3797801;Avenida de Abrantes,
RESTO;CARABANCHEL;AVENIDA;de Abrantes;;-3,729536;40,3797801;Avenida de Abrantes,
ENVASES;CARABANCHEL;PARQUE; de Comillas;;-3,7131899;40,3930291;Parque  de Comillas,
ENVASES;CARABANCHEL;PLAZA;de Tarifa;;-3,730484;40,384155;Plaza  de Tarifa,
ENVASES;CARABANCHEL;PLAZA;de Anocíbar;;-3,735845;40,376942;Plaza  de Anocíbar,
ENVASES;CARABANCHEL;CALLE;de Baleares;;-3,7130261;40,3919801;Calle  de Baleares,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,641501;40,3900471;Calle  de San Claudio,
ENVASES;USERA;PLAZA;del Basalto;;-3,701136;40,383156;Plaza  del Basalto,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,637564;40,389518;Calle  de San Claudio,
ENVASES;CARABANCHEL;CALLE;de Nuestra Señora de la Luz;;-3,747314;40,384457;Calle  de Nuestra Señora de la Luz,
ENVASES;CARABANCHEL;AVENIDA;de Abrantes;;-3,727862;40,380925;Avenida de Abrantes,
ENVASES;CARABANCHEL;CALLE;de Mercedes Arteaga;;-3,723087;40,390921;Calle  de Mercedes Arteaga,
ENVASES;CARABANCHEL;AVENIDA;de Abrantes;;-3,727953;40,3809481;Avenida de Abrantes,
ENVASES;CARABANCHEL;CALLE;de Baleares;;-3,712851;40,390665;Calle  de Baleares,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,6507969;40,400361;Calle  de Ramón Pérez de Ayala,
ENVASES;CARABANCHEL;CALLE;de Antonia Rodríguez Sacristán;;-3,746793;40,3728561;Calle  de Antonia Rodríguez Sacristán,
ENVASES;CARABANCHEL;CALLE;de Monseñor Óscar Romero;;-3,748446;40,382753;Calle  de Monseñor Óscar Romero,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,640642;40,3909501;Calle  de San Claudio,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,652608;40,398196;Calle  de Ramón Pérez de Ayala,
ENVASES;USERA;PASEO;de Santa María de la Cabeza;;-3,713301;40,3873581;Paseo  de Santa María de la Cabeza,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,66992;40,3763131;Ronda  del Sur,
ENVASES;PUENTE DE VALLECAS;CALLE;Marchamalo;;-3,646389;40,396039;Calle  Marchamalo,
ENVASES;CARABANCHEL;CALLE;de Evora;;-3,718192;40,387172;Calle  de Evora,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,639585;40,390752;Calle  de San Claudio,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,6510929;40,3990871;Calle  de Ramón Pérez de Ayala,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,637992;40,3886701;Calle  de San Claudio,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,676584;40,378263;Ronda  del Sur,
ENVASES;CARABANCHEL;CALLE;de Baleares;;-3,713092;40,39228;Calle  de Baleares,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,651964;40,398547;Calle  de Ramón Pérez de Ayala,
ENVASES;VILLAVERDE;AVENIDA;de los Rosales;;-3,679077;40,353035;Avenida de los Rosales,
ENVASES;CARABANCHEL;CALLE;de Baleares;;-3,713221;40,394171;Calle  de Baleares,
RESTO;CARABANCHEL;CALLE;de Mercedes Arteaga;;-3,723087;40,390921;Calle  de Mercedes Arteaga,
RESTO;CARABANCHEL;CALLE;de Mercedes Arteaga;;-3,723087;40,390921;Calle  de Mercedes Arteaga,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,651486;40,401171;Calle  de Ramón Pérez de Ayala,
VIDRIO;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,651486;40,401171;Calle  de Ramón Pérez de Ayala,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,64086;40,3884291;Calle  de San Claudio,
VIDRIO;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,64086;40,3884291;Calle  de San Claudio,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,652608;40,398196;Calle  de Ramón Pérez de Ayala,
RESTO;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,652608;40,398196;Calle  de Ramón Pérez de Ayala,
