ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
102,Temperature,2019,1,1,2019-01-01,28079102_83_98_19_01_01,18.25,28.0,11.0,ºC
58,Temperature,2019,1,1,2019-01-01,28079058_83_98_19_01_01,37.416666666666664,135.0,4.0,ºC
103,Precipitation,2019,1,1,2019-01-01,28079103_89_98_19_01_01,25.583333333333332,42.0,12.0,l/m^2
56,Precipitation,2019,1,1,2019-01-01,28079056_89_98_19_01_01,0.3875,1.2,0.1,l/m^2
104,Temperature,2019,1,1,2019-01-01,28079104_83_98_19_01_01,30.541666666666668,69.0,12.0,ºC
56,Temperature,2019,1,1,2019-01-01,28079056_83_98_19_01_01,12.375,21.0,7.0,ºC
104,Precipitation,2019,1,1,2019-01-01,28079104_89_98_19_01_01,13.666666666666666,64.0,3.0,l/m^2
54,Precipitation,2019,1,1,2019-01-01,28079054_89_98_19_01_01,9.516666666666667,27.96,1.58,l/m^2
106,Temperature,2019,1,1,2019-01-01,28079106_83_98_19_01_01,102.125,145.0,61.0,ºC
54,Temperature,2019,1,1,2019-01-01,28079054_83_98_19_01_01,23.333333333333332,38.0,11.0,ºC
106,Precipitation,2019,1,1,2019-01-01,28079106_89_98_19_01_01,98.875,352.0,35.0,l/m^2
39,Precipitation,2019,1,1,2019-01-01,28079039_89_98_19_01_01,11.4425,39.91,2.38,l/m^2
107,Temperature,2019,1,1,2019-01-01,28079107_83_98_19_01_01,34.916666666666664,73.0,17.0,ºC
38,Temperature,2019,1,1,2019-01-01,28079038_83_98_19_01_01,52.25,100.0,12.0,ºC
107,Precipitation,2019,1,1,2019-01-01,28079107_89_98_19_01_01,69.83333333333333,152.0,32.0,l/m^2
36,Temperature,2019,1,1,2019-01-01,28079036_83_98_19_01_01,42.458333333333336,180.0,5.0,ºC
108,Temperature,2019,1,1,2019-01-01,28079108_83_98_19_01_01,2.1999999999999997,3.3,1.3,ºC
35,Temperature,2019,1,1,2019-01-01,28079035_83_98_19_01_01,51.416666666666664,86.0,28.0,ºC
24,Precipitation,2019,1,1,2019-01-01,28079024_89_98_19_01_01,1.1458333333333333,1.8,0.6,l/m^2
108,Precipitation,2019,1,1,2019-01-01,28079108_89_98_19_01_01,1.2291666666666667,3.0,0.6,l/m^2
24,Temperature,2019,1,1,2019-01-01,28079024_83_98_19_01_01,11.708333333333334,22.0,8.0,ºC
109,Temperature,2019,1,1,2019-01-01,28079109_83_98_19_01_01,66.16666666666667,125.0,20.0,ºC
