PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;81;28079102_81_98;2021;08;01;02.67;V;02.20;V;01.77;V;01.83;V;01.73;V;01.88;V;01.90;V;02.22;V;01.88;V;01.47;V;01.63;V;01.68;V;01.15;V;01.15;V;02.20;V;01.95;V;01.98;V;02.28;V;01.65;V;01.30;V;00.75;V;01.33;V;01.98;V;01.58;V
28;079;102;81;28079102_81_98;2021;08;02;01.90;V;02.62;V;02.42;V;02.75;V;02.70;V;02.72;V;02.40;V;02.08;V;01.82;V;01.62;V;01.88;V;01.82;V;01.77;V;01.28;V;01.40;V;01.38;V;02.28;V;02.15;V;01.85;V;00.85;V;01.40;V;01.45;V;00.93;V;00.95;V
28;079;102;81;28079102_81_98;2021;08;03;00.97;V;01.28;V;03.02;V;03.27;V;01.58;V;00.88;V;01.67;V;01.83;V;01.77;V;02.07;V;01.58;V;01.25;V;01.27;V;02.02;V;02.93;V;02.72;V;03.05;V;02.52;V;02.72;V;02.92;V;03.37;V;03.10;V;02.83;V;02.42;V
28;079;102;81;28079102_81_98;2021;08;04;02.67;V;02.83;V;02.85;V;02.60;V;02.50;V;03.00;V;03.17;V;02.75;V;02.60;V;01.75;V;01.33;V;01.27;V;01.37;V;01.48;V;02.88;V;02.38;V;02.63;V;03.12;V;02.92;V;02.77;V;02.28;V;01.93;V;01.55;V;01.37;V
28;079;102;81;28079102_81_98;2021;08;05;00.52;V;01.52;V;00.47;V;01.08;V;00.38;V;00.20;V;00.68;V;00.80;V;01.12;V;01.30;V;01.08;V;01.58;V;02.85;V;02.28;V;02.40;V;01.93;V;02.32;V;02.57;V;03.22;V;03.07;V;02.68;V;02.33;V;02.25;V;02.05;V
28;079;102;81;28079102_81_98;2021;08;06;01.57;V;01.48;V;00.90;V;01.32;V;00.78;V;00.40;V;00.78;V;00.38;V;00.48;V;00.75;V;01.58;V;02.97;V;03.37;V;04.02;V;04.03;V;04.60;V;04.98;V;05.22;V;05.28;V;04.40;V;03.77;V;03.48;V;03.28;V;02.95;V
28;079;102;81;28079102_81_98;2021;08;07;01.87;V;01.05;V;02.08;V;02.30;V;01.65;V;02.28;V;01.68;V;02.48;V;01.97;V;02.75;V;02.05;V;02.37;V;01.70;V;02.00;V;02.78;V;03.22;V;03.18;V;03.33;V;02.83;V;02.85;V;02.63;V;02.38;V;01.72;V;01.08;V
28;079;102;81;28079102_81_98;2021;08;08;00.62;V;00.48;V;00.43;V;00.65;V;01.27;V;02.00;V;02.42;V;02.02;V;02.57;V;03.33;V;02.62;V;02.20;V;01.57;V;01.78;V;01.85;V;01.67;V;01.55;V;02.25;V;01.95;V;01.53;V;00.97;V;00.85;V;00.78;V;01.37;V
28;079;102;81;28079102_81_98;2021;08;09;03.12;V;03.70;V;03.23;V;02.52;V;01.95;V;01.87;V;02.50;V;02.50;V;02.80;V;02.53;V;01.90;V;01.90;V;01.82;V;01.67;V;01.77;V;01.95;V;01.93;V;01.88;V;01.67;V;01.80;V;00.83;V;00.38;V;02.25;V;02.00;V
28;079;102;81;28079102_81_98;2021;08;10;01.87;V;02.55;V;02.72;V;02.62;V;02.02;V;01.95;V;01.97;V;01.58;V;02.13;V;01.72;V;01.85;V;02.33;V;01.98;V;02.00;V;01.87;V;01.97;V;01.63;V;01.88;V;01.72;V;02.00;V;01.55;V;00.72;V;00.58;V;00.83;V
28;079;102;81;28079102_81_98;2021;08;11;00.53;V;01.52;V;01.45;V;00.97;V;00.55;V;01.13;V;01.27;V;01.17;V;01.93;V;01.92;V;02.08;V;01.73;V;01.88;V;01.67;V;02.03;V;03.30;V;02.60;V;02.65;V;02.37;V;01.93;V;02.27;V;03.73;V;04.22;V;05.17;V
28;079;102;81;28079102_81_98;2021;08;12;03.42;V;01.55;V;04.10;V;02.73;V;02.13;V;02.90;V;02.60;V;02.08;V;01.30;V;01.10;V;01.92;V;01.53;V;01.72;V;02.12;V;03.05;V;03.37;V;04.03;V;03.67;V;04.02;V;03.93;V;03.20;V;01.88;V;01.38;V;01.30;V
28;079;102;81;28079102_81_98;2021;08;13;01.35;V;01.30;V;00.90;V;01.45;V;01.32;V;01.72;V;02.15;V;02.33;V;01.30;V;01.25;V;01.55;V;01.07;V;01.38;V;01.40;V;02.05;V;02.47;V;02.82;V;03.27;V;02.87;V;03.03;V;02.55;V;02.08;V;01.38;V;00.93;V
28;079;102;81;28079102_81_98;2021;08;14;01.37;V;00.95;V;01.30;V;00.98;V;01.43;V;01.32;V;01.07;V;01.28;V;01.07;V;01.12;V;01.47;V;00.68;V;00.98;V;00.80;V;01.57;V;02.23;V;03.37;V;04.13;V;03.45;V;02.17;V;02.05;V;01.80;V;02.42;V;02.90;V
28;079;102;81;28079102_81_98;2021;08;15;02.33;V;01.58;V;01.13;V;01.17;V;01.90;V;02.38;V;02.53;V;03.30;V;02.63;V;00.85;V;00.85;V;00.62;V;01.02;V;02.67;V;03.68;V;04.92;V;05.48;V;05.53;V;04.83;V;04.32;V;03.75;V;03.08;V;01.88;V;01.85;V
28;079;102;81;28079102_81_98;2021;08;16;01.33;V;01.18;V;01.27;V;01.30;V;02.03;V;01.88;V;02.07;V;02.12;V;02.52;V;02.62;V;03.13;V;03.80;V;04.23;V;03.63;V;02.58;V;01.65;V;01.77;V;01.43;V;01.20;V;01.07;V;02.38;V;04.30;V;04.67;V;05.07;V
28;079;102;81;28079102_81_98;2021;08;17;04.62;V;05.45;V;04.55;V;04.18;V;03.65;V;03.23;V;03.93;V;03.82;V;04.27;V;04.03;V;03.62;V;02.58;V;01.58;V;01.33;V;01.22;V;01.02;V;01.27;V;01.48;V;01.05;V;01.25;V;01.40;V;01.22;V;02.67;V;02.73;V
28;079;102;81;28079102_81_98;2021;08;18;03.50;V;04.10;V;04.27;V;04.17;V;02.42;V;02.10;V;01.97;V;01.68;V;02.32;V;02.43;V;01.55;V;02.37;V;02.08;V;01.85;V;02.15;V;02.58;V;02.70;V;02.75;V;02.33;V;02.03;V;01.97;V;01.37;V;01.50;V;01.85;V
28;079;102;81;28079102_81_98;2021;08;19;02.87;V;03.12;V;02.20;V;01.30;V;02.12;V;01.58;V;01.50;V;02.78;V;02.12;V;02.18;V;01.33;V;01.22;V;01.60;V;01.70;V;01.92;V;02.33;V;02.55;V;02.43;V;02.63;V;02.37;V;02.35;V;01.88;V;01.70;V;01.15;V
28;079;102;81;28079102_81_98;2021;08;20;02.78;V;04.05;V;02.62;V;02.47;V;01.30;V;01.53;V;02.12;V;02.30;V;02.15;V;02.10;V;01.87;V;01.30;V;01.40;V;02.00;V;02.30;V;02.37;V;02.57;V;03.05;V;02.72;V;02.72;V;02.45;V;01.30;V;01.78;V;01.85;V
28;079;102;81;28079102_81_98;2021;08;21;01.32;V;01.08;V;00.88;V;01.00;V;01.63;V;00.98;V;00.97;V;00.83;V;00.83;V;00.90;V;01.22;V;00.88;V;01.23;V;01.43;V;02.00;V;02.48;V;01.97;V;02.70;V;02.52;V;02.13;V;02.02;V;01.72;V;01.40;V;01.02;V
