Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397074625115900;-3.7664885474841500;;cultural; AG Cultura Turismo y Deportes ; Latina ;20;ORTIZ;31/07/2019
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;40.41410290844660;-3.7098591212735800;;cultural; AG Cultura Turismo y Deportes ; Centro ;3;ORTIZ;24/07/2019
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;40.4166091081099;-3.6795930368034800;;cultural; AG Cultura Turismo y Deportes ; Retiro ;8,2;ORTIZ;24/07/2019
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.390944081814800;-3.685391155439890; 3.062   ;cultural; AG Cultura Turismo y Deportes ; Arganzuela ;25;FULTON;13/09/2019
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;40.36861554413500;-3.74573026512817;;administrativo; AG Economía, Innovación y Empleo ; Carabanchel ;10;;
6;1779;MARES MADRID;C/ FRANCISCO LAGUNA 38;443153;4471330;40.390628;-3.669802;;administrativo; AG Economía, Innovación y Empleo ; Puente de Vallecas  ;7;;
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 28021 MADRID;440849;4466524;40.347177;-3.696499;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;5;;
8;;MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.346099;-3.710522;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;7;AURA;15/01/2019
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;40.45914104116340;-3.718270563679260;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;2,5;;13/08/2008
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;40.40943503279110;-3.6861797800993200;;medioambiental; AG de Medio Ambiente y Movilidad ; Retiro ;5;;
