Número,Código Ayto,Centro,Calle,Portal nº,Latitud,Longitud,Uso del edificio,Distrito,Distrito URI from dbpedia,Ciudad,Ciudad URI from wikidata,Potencia KWp,Empresa instaladora,Puesta en servicio
1,2178.0,BIBLIOTECA ÁNGEL GONZALEZ,C/ GRANJA DE TORREHERMOSA,2.0,40.3970746251159,-3.76648854748415,cultural,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,ORTIZ,2019-07-30T14:00:00Z
2,782.0,BIBLIOTECA IVÁN DE VARGAS,C/ DOCTOR LETAMENDI,1.0,40.4141029084466,-3.70985912127358,cultural,Centro (Madrid),http://dbpedia.org/resource/Category:Centro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,3.0,ORTIZ,2019-07-23T14:00:00Z
3,2096.0,BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),AV/ MENENDEZ PELAYO ,10.0,40.4166091081099,-3.67959303680348,cultural,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,8.2,ORTIZ,2019-07-23T14:00:00Z
4,1046.0,PLANETARIO,AV/ PLANETARIO,16.0,40.3909440818148,-3.68539115543989,cultural,Arganzuela,http://dbpedia.org/resource/Arganzuela,Madrid,https://www.wikidata.org/wiki/Q2807,25.0,FULTON,2019-09-12T14:00:00Z
5,2143.0,MADRID EMPRENDE,C/CIDRO,3.0,40.368615544135,-3.74573026512817,administrativo,Carabanchel,http://dbpedia.org/resource/Category:Carabanchel,Madrid,https://www.wikidata.org/wiki/Q2807,10.0,DESCONOCIDO,2021-11-26T20:00:00Z
6,1779.0,MARES MADRID,C/ FRANCISCO LAGUNA,38.0,40.390628,-3.669802,administrativo,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,Madrid,https://www.wikidata.org/wiki/Q2807,7.0,DESCONOCIDO,2021-10-30T17:00:00Z
7,2639.0,NAVE BOETTICHER,C/ CIFUENTES,22.0,40.347177,-3.696499,administrativo,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,5.0,DESCONOCIDO,2021-10-30T17:00:00Z
8,0.0,MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO,PASEO ALBERTO PALACIOS,13.0,40.346099,-3.710522,administrativo,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,7.0,AURA,2019-01-14T18:00:00Z
9,317.0,AULA DE LA NATURALEZA DEHESA DE LA VILLA,C/ FRANCOS RODRIGUEZ,97.0,40.4591410411634,-3.71827056367926,medioambiental,Moncloa-Aravaca,http://dbpedia.org/resource/Category:Moncloa-Aravaca,Madrid,https://www.wikidata.org/wiki/Q2807,2.5,DESCONOCIDO,2008-08-12T14:00:00Z
10,0.0,VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
",0.0,40.4094350327911,-3.68617978009932,medioambiental,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,5.0,DESCONOCIDO,2021-10-30T17:00:00Z
11,0.0,VIVERO MUNICIPAL DE CASA DE CAMPO,Pº Azul. Parque de la Casa de Campo,0.0,40.420606,-3.723958,medioambiental,Moncloa-Aravaca,http://dbpedia.org/resource/Category:Moncloa-Aravaca,Madrid,https://www.wikidata.org/wiki/Q2807,5.0,DESCONOCIDO,2021-10-30T17:00:00Z
12,0.0,VIVERO MUNICIPAL DE MIGAS CALIENTES,"Km. 22. M-30 (frente a palacio Moncloa)
",0.0,40.4368625714704,-3.73817152304904,medioambiental,Moncloa-Aravaca,http://dbpedia.org/resource/Category:Moncloa-Aravaca,Madrid,https://www.wikidata.org/wiki/Q2807,5.0,DESCONOCIDO,2021-10-30T17:00:00Z
13,0.0,ROSALEDA DEL PARQUE DEL OESTE,c/ de la Rosaleda,0.0,40.426646,-3.721771,medioambiental,Moncloa-Aravaca,http://dbpedia.org/resource/Category:Moncloa-Aravaca,Madrid,https://www.wikidata.org/wiki/Q2807,5.0,DESCONOCIDO,2021-10-30T17:00:00Z
14,2520.0,ALMACÉN DE LA VILLA,C/ AHUMAOS,27.0,40.395628,-3.597144,almacén,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,Madrid,https://www.wikidata.org/wiki/Q2807,17.5,SAVEFFI,2020-03-26T18:00:00Z
15,1392.0,UID VILLA DE VALLECAS,AV/ REAL DE ARGANDA,64.0,40.3791455421455,-3-6142474191270000,seguridad,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,PECSA,2018-11-05T18:00:00Z
16,1704.0,BASE 14 SAMUR,C/ CASUARINA,10.0,40.380148,-3.765466,sanitario,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,6.0,AURA,2018-02-13T18:00:00Z
17,1904.0,CENTRO PROTECCIÓN ANIMAL,CARRETERA BARRIO DE LA FORTUNA(km10),0.0,40.3635463096433,-3.77811006728668,sanitario,Latina,http://dbpedia.org/resource/Latina,Madrid,https://www.wikidata.org/wiki/Q2807,9.88,POWEN,2018-06-20T14:00:00Z
18,1372.0,PARQUE BOMBEROS Nº 6,C/ SAN BERNARDO,68.0,40.4267358311415,-3.70654962226942,seguridad,Centro (Madrid),http://dbpedia.org/resource/Category:Centro_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,5.0,AURA,2020-02-13T18:00:00Z
19,0.0,PARQUE DE BOMBEROS Nº 7,Av Hellin,52.0,40.4283288391741,-3.61543736646443,seguridad,San Blas-Canillejas,http://dbpedia.org/resource/Category:San_Blas-Canillejas,Madrid,https://www.wikidata.org/wiki/Q2807,35.0,FERROVIAL,2018-02-12T18:00:00Z
20,0.0,PARQUE DE BOMBEROS Nº 11,C/ Mesena,146.0,40.4740988954065,-3.66508396658848,seguridad,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,25.0,FERROVIAL,2019-01-09T18:00:00Z
21,2021.0,CSS JOSÉ VILLARREAL (ARGANZUELA),PLAZA JOSE VILLARREAL,2.0,40.3940185448828,-3.69705214496161,social,Arganzuela,http://dbpedia.org/resource/Arganzuela,Madrid,https://www.wikidata.org/wiki/Q2807,17.0,DESCONOCIDO,2008-09-28T14:00:00Z
22,2440.0,EI LA MELONERA,C/ EROS,2.0,40.3939029832483,-3.68055149170835,educativo,Arganzuela,http://dbpedia.org/resource/Arganzuela,Madrid,https://www.wikidata.org/wiki/Q2807,7.5,IMESAPI,2019-07-04T14:00:00Z
23,1541.0,CDM MARQUÉS DE SAMARANCH,Pº IMPERIAL,20.0,40.4076150141064,-3.71738072219391,deportivo,Arganzuela,http://dbpedia.org/resource/Arganzuela,Madrid,https://www.wikidata.org/wiki/Q2807,90.0,EULEN,2019-12-01T18:00:00Z
24,1119.0,CDI ARGANZUELA,C/ CANARIAS,17.0,40.4020727986286,-3.6955325387824,mixto,Arganzuela,http://dbpedia.org/resource/Arganzuela,Madrid,https://www.wikidata.org/wiki/Q2807,90.0,EULEN,2019-10-02T14:00:00Z
25,1916.0,CDM ARGANZUELA LA FUNDI,C/ ALICANTE ,14.0,40.394377158851,-3.6913410601461,deportivo,Arganzuela,http://dbpedia.org/resource/Arganzuela,Madrid,https://www.wikidata.org/wiki/Q2807,10.0,DESCONOCIDO,2020-02-27T18:00:00Z
26,853.0,CC Y BIBLIOTECA GLORIA FUERTES,AV/ LOGROÑO,181.0,40.4606228353796,-3.59368776573359,cultural,Barajas,http://dbpedia.org/resource/Barajas,Madrid,https://www.wikidata.org/wiki/Q2807,8.2,DRAGADOS,2019-12-13T18:00:00Z
27,854.0,CMM ACUARIO,C/ ACUARIO,27.0,40.4748019680865,-3.57969145174686,social,Barajas,http://dbpedia.org/resource/Barajas,Madrid,https://www.wikidata.org/wiki/Q2807,11.7,EULEN,2019-01-03T18:00:00Z
